"","Epsilon RE","","","","Epsilon IM","","","","Mu RE","","","","Mu IM","","","","Ro RE","","","","Ro IM","","","","RoT RE","","","","RoT IM","","",""
"",-5.880000000000002,0,0,"",1.715,0,0,"",1,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"",0,-5.880000000000002,0,"",0,1.715,0,"",0,1,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"",0,0,-5.880000000000002,"",0,0,1.715,"",0,0,1,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"** End Detailed Substrate Block **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thickness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nothing to ouput so far...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Media End **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Film **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",3.,600.,0.,0.,0.,0.,0.,0.,0.,"",0.8210862619808306,0.8210862619808306,0.,0.,0.8210862619808303,0.1789137380191693,0.,0.,0.,0.,1.,0.,0.,45.,-136.28572433235882,0.8210862619808303,0.,0.1789137380191693,0.,"","",""
"",4.,600.,0.,0.,0.,0.5,0.,0.,0.,"",0.8210862619808305,0.4926517571884982,0.,-0.6568690095846645,0.8210862619808303,0.1789137380191694,-0.46364760900080615,-26.565051177077994,-0.7853981633974483,-45.,1.,8.537736462515939e-7,-0.5,45.,-136.28572433235882,0.6568690095846644,0.1642172523961661,0.14313099041533547,0.03578274760383387,"","",""
"",5.,600.,0.,0.,0.,1.,0.,0.,0.,"",0.8210862619808308,0.,0.,-0.8210862619808308,0.8210862619808303,0.17891373801916918,-0.7853981633974483,-45.,0.,0.,1.,90.,-1.,45.,-136.28572433235882,0.4105431309904152,0.4105431309904152,0.08945686900958462,0.08945686900958462,"","",""
"",6.,600.,85.,0.,0.,-1.,0.,0.,0.,"",0.9336868143177052,-0.05047932218655593,0.4107681755663499,-0.8369542467806845,0.9336868143176987,0.06631318568230105,-0.5557866928604971,-31.844231810440245,-0.5572722020147117,-31.929345215404794,1.,48.502977156252975,-0.6210955501532885,43.45041028682914,-176.27664612506436,0.4416037460655715,0.4920830682521273,0.05839625393443189,0.007916931747869142,"","",""
"",7.,600.,85.,0.,0.,-0.5,0.,0.,0.,"",0.9033992210057712,0.5097327664040666,0.3286145404530799,-0.6695633974245476,0.9033992210057612,0.09660077899423829,-0.41739834112901203,-23.915163322454195,-0.5572722020147117,-31.929345215404794,1.,16.404533927516056,-0.4434556605454505,43.45041028682914,-176.27664612506436,0.7065659937049112,0.19683322730085012,0.09343400629509063,0.0031667726991476443,"","",""
"",8.,600.,85.,0.,0.,0.,0.,0.,0.,"",0.8832074921311489,0.8832074921311489,0.,0.,0.8832074921311368,0.11679250786886293,0.,0.,0.,0.,1.,0.,0.,43.45041028682914,-176.27664612506436,0.8832074921311368,0.,0.11679250786886293,0.,"","",""
"",9.,600.,85.,0.,0.,0.5,0.,0.,0.,"",0.9033992210057712,0.5097327664040666,-0.3286145404530799,0.6695633974245476,0.9033992210057612,0.09660077899423829,0.41739834112901203,23.915163322454195,1.013524124780185,58.07065478459521,1.,-16.404533927516056,0.4434556605454505,43.45041028682914,-176.27664612506436,0.7065659937049112,0.19683322730085012,0.09343400629509063,0.0031667726991476443,"","",""
"",10.,600.,85.,0.,0.,1.,0.,0.,0.,"",0.9336868143177052,-0.05047932218655593,-0.4107681755663499,0.8369542467806845,0.9336868143176987,0.06631318568230105,0.5557866928604971,31.844231810440245,1.013524124780185,58.07065478459521,1.,-48.502977156252975,0.6210955501532885,43.45041028682914,-176.27664612506436,0.4416037460655715,0.4920830682521273,0.05839625393443189,0.007916931747869142,"","",""
"*** End Output Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
