"",0,0,3.0625,"",0,0,0,"",0,0,1,"",0,0,0,"",0,0,0.,"",0,0,-0.0057,"",0,0,0.,"",0,0,-0.0057,""
"** End Detailed Substrate Block **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thickness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nothing to ouput so far...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",2.,600.,0.,0.,0.,-0.5,0.,0.,0.,"",0.10126486558360596,0.022316344113509228,0.043870019837123665,0.04428615098844304,0.10126486558360595,0.8987351343665653,0.36634158242346065,20.989826533008276,0.3950592571504986,22.63522809229706,0.6538371582459597,-0.5126655130750397,0.8338105479298235,30.96408282410866,179.86631014650092,0.06179060484855759,0.03947426073504836,0.7429059800608991,0.15582915430566605,"","",""
"",3.,600.,0.,0.,0.,0.,0.,0.,0.,"",0.07692813998131183,0.07690737211591524,-0.0010353768072472948,-0.0006358080578182239,0.07692813998131183,0.9230718600193559,-0.004133127616848923,-0.23681076863440728,-1.2954408876839199,-74.22329547296951,0.9998547887146484,-0.00016933799101846354,0.00036188899911494024,30.96408282410866,179.86631014650092,0.07691775604861355,0.000010383932698291764,0.923028955310248,0.00004290470910807011,"","",""
"",4.,600.,0.,0.,0.,0.5,0.,0.,0.,"",0.1018197815188011,0.020744135285805525,-0.04499222812082901,-0.04477166269022777,0.10181978151880108,0.898180218429532,-0.36742022916285905,-21.05162843876135,-1.1793258292445827,-67.57039268648059,0.655831833546944,0.5080576549463389,-0.8327854860452011,30.96408282410866,179.86631014650092,0.061281958402303306,0.040537823116497784,0.7339575081570171,0.16422271027251487,"","",""
"",5.,600.,0.,0.,0.,1.,0.,0.,0.,"",0.13881042136553812,-0.06251808944204415,-0.05538860011748125,-0.0553143110896728,0.13881042136553812,0.861189578505442,-0.2924691195429663,-16.75724618771911,-1.1784327783529172,-67.51922463949775,0.7217055051170934,89.82453202244365,-0.6003484464089723,30.96408282410866,179.86631014650092,0.03814616596174699,0.10066425540379113,0.4559431323670976,0.4052464461383445,"","",""
"",6.,600.,85.,0.,0.,-1.,0.,0.,0.,"",0.7892654748966412,-0.09963906435421967,0.015998158507489004,-0.7522834177342824,0.7892654748966371,0.19815247918072112,-0.7187235817286837,-41.17982786957946,-0.7747666998619684,-44.39086200936977,0.9616813493791326,-89.85421991639464,-0.8024163452491339,38.743531855802665,179.98834809515577,0.34481320527120923,0.44445226962542767,0.15476142869322246,0.043391050487498625,"","",""
"",7.,600.,85.,0.,0.,-0.5,0.,0.,0.,"",0.729477681714694,0.37386500493248115,0.012752161327054236,-0.6018310887568407,0.729477681714688,0.26502099181386085,-0.5073323032299836,-29.067999785729363,-0.774805279755616,-44.39307247444984,0.9714035201063693,-0.0659273326647305,-0.6232147178285324,38.743531855802665,179.98834809515577,0.5516713433235833,0.17780633839110468,0.24767827074781265,0.01734272106604821,"","",""
"",8.,600.,85.,0.,0.,0.,0.,0.,0.,"",0.6895520022225062,0.6895519296145615,-0.00008196819088609733,-0.0000744083199149133,0.6895520022224997,0.30967288208227883,-0.000053954108388895954,-0.003091342698075128,-1.202250456060062,-68.88387704991997,0.9999999075900556,-4.353408482428142e-6,-0.0001226588642121901,38.743531855802665,179.98834809515577,0.6895519659185272,3.630397236751727e-8,0.3096728403480173,4.173426155628224e-8,"","",""
"",9.,600.,85.,0.,0.,0.5,0.,0.,0.,"",0.7293165200245586,0.37390711331075266,-0.012856154027307082,0.601661217927875,0.7293165200245527,0.26519590824504047,0.5072416603896076,29.06280633353274,0.7960804190869678,45.61204816668908,0.9714534132884052,0.06590311300317245,0.6230458328951813,38.743531855802665,179.98834809515577,0.5516118166676515,0.17770470335690122,0.24779829050095958,0.017397617744080898,"","",""
"",10.,600.,85.,0.,0.,1.,0.,0.,0.,"",0.7890640227839716,-0.09958642888138003,-0.01601223568546268,0.7520819656216124,0.7890640227839675,0.1983711247196955,0.718738414224029,41.18067770896239,0.7960418283793188,45.60983708201237,0.9616654531265992,89.85422002985209,0.8023774485458125,38.743531855802665,179.98834809515577,0.3447387969512942,0.4443252258326732,0.1549114533846561,0.04345967133503946,"","",""
"*** End Output Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
