"*** Multilayered Thin Film Output File Format Version 6.03 ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Modelling Engine Version 6.03 ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"* Description *","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Snell Law: Slightly absorbing isotropic thick glass plate between air, NO film.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Begin Options Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Using Media Orientation Angles.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Solving for layered film on a THICK SUBSTRATE plate.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","100","    Averaging Type: ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","5","    No Of Averaging Points: ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","    Averaging Periods: ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rotating all layers simultaneously.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Using consecutive rotations.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AbsoluteAzimuth","Using Absolute Azimuth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** End Options Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Begin Optical Properties Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Media **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Refraction_Index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",1,"",1.5+0.00003*I,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Begin Detailed Substrate Block **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Epsilon RE","","","","Epsilon IM","","","","Mu RE","","","","Mu IM","","","","Ro RE","","","","Ro IM","","","","RoT RE","","","","RoT IM","","",""
"",2.2499999991,0,0,"",0.00009,0,0,"",1,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"",0,2.2499999991,0,"",0,0.00009,0,"",0,1,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"",0,0,2.2499999991,"",0,0,0.00009,"",0,0,1,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,""
"** End Detailed Substrate Block **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thickness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nothing to ouput so far...","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Media End **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Film **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Epsilon_RE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Epsilon_IM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"** Film End **","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** End Optical Properties Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"*** Begin Output Block ***","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Input","No","lambda","phita","beta","gamma","e","phi_1","theta_1","psi_1","Output","S_R,0","S_R,1","S_R,2","S_R,3","R","T","gamma_R","° gamma_  R","chi_R","° chi_  R","p_R","chi_r","e_r","psi_pp","DELTA_pp","R_p","R_s","T_p","T_s","","",""
"",1.,600.,0.,0.,0.,-1.,0.,0.,0.,"",0.050496626285189,0.,0.,0.050496626285189,0.050496626285188986,0.4918866178068402,0.7853981559468677,44.99999957311318,0.7853981633973831,44.99999999999626,1.,0.,1.,45.,-179.99724980258748,0.025248313142601,0.025248313142587984,0.24594330890357255,0.2459433089032676,"","",""
"",2.,600.,0.,0.,0.,-0.5,0.,0.,0.,"",0.05049662628519684,0.03029797577112643,0.,0.04039730102815123,0.05049662628519683,0.49188661780702275,0.4636476090007031,26.56505117707209,0.7853981633973831,44.99999999999626,1.,0.,0.5,45.,-179.99724980258748,0.04039730102816162,0.0100993252570352,0.3935092942457159,0.09837732356130692,"","",""
"",3.,600.,0.,0.,0.,0.,0.,0.,0.,"",0.05049662628520207,0.05049662628520207,0.,0.,0.05049662628520205,0.49188661780714504,0.,0.,0.,0.,1.,0.,0.,45.,-179.99724980258748,0.05049662628520205,0.,0.49188661780714504,0.,"","",""
"",4.,600.,0.,0.,0.,0.5,0.,0.,0.,"",0.05049662628519684,0.03029797577112643,0.,-0.04039730102815123,0.05049662628519683,0.49188661780702275,-0.4636476090007031,-26.56505117707209,-0.7853981633975134,-45.00000000000373,1.,0.,-0.5,45.,-179.99724980258748,0.04039730102816162,0.0100993252570352,0.3935092942457159,0.09837732356130692,"","",""
"",5.,600.,0.,0.,0.,1.,0.,0.,0.,"",0.050496626285189,0.,0.,-0.050496626285189,0.050496626285188986,0.49188661780684007,-0.7853981559468677,-44.99999957311318,-0.7853981633975136,-45.00000000000374,1.,90.,-1.,45.,-179.99724980258748,0.025248313142601,0.025248313142587984,0.2459433089035725,0.24594330890326754,"","",""
